v_1;v_2;v_3;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;target
0.45008;-147.223;-188.577;-169.584;0.19072;-0.47319;0.20521;-0.77992;-0.43898;190.085;0.20758;105.746;-40.060.814.198.138.100
-0.62056;-0.42203;-12.806;-143.552;-28.787;-101.932;-0.59214;-182.493;-113.319;0.07276;-0.30783;0.51317;-39.960.956.684.745.300
0.31528;176.415;-0.19453;164.205;-200.048;0.86934;0.82261;0.13962;-0.0025;-0.85553;0.12919;-158.281;-39.938.172.939.313.700
-208.556;-0.99351;169.141;-121.901;-136.895;-11.811;-173.928;0.77943;-0.01383;0.2975;0.25053;-0.28629;-39.842.991.734.388.800
-0.13447;-0.39787;174.903;-0.33432;-0.16668;-110.649;162.398;-0.47253;-0.95736;0.58707;111.306;-0.0069;-39.781.239.477.610.700
-173.021;-0.19359;0.5074;-0.86181;-200.761;-0.31092;-0.36029;128.743;-0.94338;-0.9977;0.05237;-0.7943;-39.774.814.219.848.600
-0.31853;0.09662;104.817;-0.10863;0.21191;150.925;-230.483;0.58588;-0.49992;172.765;224.329;0.69039;-38.691.299.536.591.100
-0.20558;-236.865;-0.86868;18.784;-14.568;-0.21442;-0.43207;-143.109;158.061;115.318;-0.95896;117.106;-38.532.732.368.686.200
-0.92647;0.31665;-0.84057;-155.048;-21.988;0.32455;0.49626;130.009;0.64311;0.50559;-0.47271;152.219;-37.961.853.028.085.900
-0.97131;-0.65278;0.0075;-214.187;-177.548;0.39986;126.782;-0.40441;193.974;-0.07753;0.70756;-0.21831;-37.515.387.918.161.200
0.88185;-0.30707;-0.83056;-0.28087;-125.265;0.04143;-246.673;120.234;-0.81802;0.52214;-0.05699;137.219;-37.360.339.880.397.300
0.07548;-146.595;126.469;-0.1125;-0.15635;143.582;-177.531;-0.03955;0.48661;0.0121;121.972;-0.47449;-37.263.453.221.918.700
-0.16394;0.1523;0.01821;0.24198;-0.32912;-0.83685;-207.216;-118.433;-180.874;0.75073;-0.99973;0.83779;-36.769.466.189.566.900
-0.05266;0.73756;0.70344;-0.01093;-0.25581;-117.026;-142.929;135.762;-0.39168;-0.03132;-125.889;0.1332;-36.691.004.936.160.300
-119.176;-0.06569;108.086;-0.44976;-235.576;-0.50863;0.96493;0.56401;110.495;-0.11339;-116.577;-102.727;-35.764.329.429.547.200
-0.30659;-0.87998;-0.71339;-0.36816;0.26323;0.65445;0.13484;126.144;0.76086;-155.906;-0.73562;-0.9889;-35.321.943.905.873.300
-0.36024;156.178;0.87363;-0.32012;0.12155;-0.98078;108.492;-100.091;154.633;190.508;132.632;165.587;-35.185.033.036.431.800
0.36866;176.891;-0.44824;-0.12635;-0.64624;244.973;-0.57154;-0.21319;0.16162;0.5913;-121.917;-104.697;-35.059.001.832.696.600
-0.99084;-107.374;-0.04196;153.753;-0.37143;-0.75558;244.746;169.818;-0.37693;-0.75048;0.31704;-0.60029;-34.872.677.225.203.400
0.30884;-169.599;225.906;-0.66565;-0.15725;-0.85745;-144.474;0.3971;211.886;102.281;-166.611;-0.95193;-34.842.990.673.328.000
-255.018;-118.435;0.18998;-0.24312;-0.82205;-0.98443;104.069;250.117;0.06862;-0.34575;-0.16642;-0.11458;-34.123.895.683.179.000
-0.83982;-0.66388;0.8198;0.54033;0.22745;-0.38315;-0.50641;0.60252;0.14017;0.10149;-0.39455;-141.794;-33.779.769.568.136.700
0.58132;-0.27531;-183.243;107.261;-147.691;-0.47152;-0.21758;-0.45822;-0.97631;0.14563;0.06841;161.607;-33.758.988.706.309.900
-0.4354;-0.53002;163.016;-168.865;123.661;0.96559;-131.757;-0.46159;0.08877;15.197;0.82305;-0.03378;-32.997.688.637.554.500
-0.08801;-160.176;-0.90289;0.20354;-0.30071;-0.91892;-0.35862;0.46137;183.601;-0.00723;-153.721;0.43231;-32.949.831.176.647.100
-0.4976;0.46649;-0.69664;-116.903;0.93662;-149.319;0.43861;0.52785;0.73964;-117.301;0.94467;0.71529;-32.761.201.195.646.400
0.7292;146.885;0.57432;-14.225;-0.10478;176.536;130.571;-0.24715;-0.3428;0.33736;-141.127;-142.638;-32.586.319.507.242.500
0.24936;200.593;-0.9576;-0.29684;-0.48823;-0.42058;-0.86354;-0.84656;0.53939;17.539;0.40037;0.52367;-32.133.635.793.195.100
-0.243;0.12436;-0.4464;-109.513;0.76363;0.99095;0.83943;123.777;200.391;-0.87164;-103.945;0.14086;-32.105.761.047.771.700
-149.957;-0.72053;0.09621;-149.304;-0.81259;-138.856;-141.363;0.50239;0.39546;117.214;-144.159;-120.888;-32.074.136.630.545.700
186.604;-0.85095;0.57513;-114.621;-18.266;0.80964;-303.994;-199.205;0.94663;-0.91273;126.706;0.21866;-31.748.157.033.693.900
-0.12246;-0.21939;-10.414;-0.39501;0.07427;106.087;118.261;0.03229;-214.558;-0.14634;-0.31344;-0.71255;-31.745.951.910.708.100
-126.174;0.46976;-0.18959;-0.34236;-19.623;-0.00562;-0.00448;-11.976;0.79785;0.67346;-0.1883;0.06914;-31.723.507.290.228.000
-128.351;0.85023;-0.36806;-0.72546;-170.166;136.861;-0.34515;-0.6243;0.23383;270.484;0.23024;-0.01433;-31.715.995.680.813.900
-0.10853;-0.11272;134.572;0.20341;-0.41897;0.0888;-0.75334;-0.39441;-0.32846;0.28466;0.37085;-0.6306;-31.526.397.024.841.900
0.38223;117.762;1.011;-0.28155;-0.57852;0.21234;-0.71508;-0.105;146.761;0.27182;-0.39193;-0.69365;-31.383.557.770.271.900
-0.54206;-0.3191;-128.636;0.31485;0.14309;-207.612;110.361;0.26651;0.1328;-260.069;-126.294;-0.2535;-31.353.448.082.408.800
-158.202;104.506;0.55389;-0.00859;-159.766;-0.39386;-0.35741;0.34445;-0.39222;0.66724;-208.694;-0.04227;-31.083.241.140.273.900
-0.61588;0.55447;-11.912;0.23196;0.10019;-0.34016;-173.661;-0.39965;0.01014;-0.58917;100.758;111.941;-31.079.198.218.785.700
0.19356;-0.08947;0.6459;0.47146;-0.90303;-0.09443;-0.1769;0.72735;122.545;0.48289;-0.18935;102.732;-31.042.326.512.378.200
-0.34569;-170.368;-18.615;-0.2736;0.20443;0.74787;0.04735;-0.06112;-16.239;-0.97528;0.29345;-0.65887;-31.033.761.616.160.300
-0.1517;-124.587;153.931;0.07841;-0.37106;0.45072;0.29639;21.874;0.71303;-0.21915;158.488;0.69823;-30.858.564.847.682.900
-126.091;0.72807;-131.634;-0.80384;-15.465;-0.85518;-0.89536;0.43781;0.98181;-0.77757;-0.01888;-148.777;-30.807.329.645.897.400
0.28261;0.64044;-0.57961;-0.94089;-0.02657;0.81659;-134.295;-130.442;0.45394;114.768;0.03687;-153.808;-30.675.830.633.763.200
-11.871;-0.13026;0.22639;-144.193;-106.643;0.16042;143.977;0.54918;0.93686;0.90193;-0.97499;-267.654;-30.488.255.571.985.300
-190.227;-118.651;0.12143;0.89882;126.494;0.02119;-0.29374;-0.47241;10.488;-218.559;-0.64259;0.87979;-30.439.844.865.042.000
-230.445;-10.197;0.47607;0.02227;-0.93599;207.796;-103.941;-162.364;-0.89342;111.681;0.67741;0.24066;-30.434.207.167.942.400
-0.87419;-0.51885;166.354;-0.07469;-241.588;-0.84928;0.79791;0.95124;-261.062;-0.44942;-0.57367;-0.60655;-30.415.242.084.556.600
128.974;0.856;129.228;-0.32041;-170.186;-0.79832;0.3826;-0.70665;-0.26563;-0.59999;0.97581;0.37056;-30.267.073.148.115.400
0.8793;-0.81195;-0.09479;-0.80136;-0.9029;0.39132;-221.472;-0.87021;-0.36545;-0.00151;122.066;-0.94166;-29.938.470.714.021.600
0.08087;-0.74159;119.611;-0.11679;-0.38911;-0.54092;108.292;0.0506;-0.8066;122.565;0.348;0.82716;-29.854.248.711.385.400
0.00066;137.317;-0.80693;-0.32277;-0.02727;-0.10594;-0.93972;-0.76585;-103.725;-0.74403;-114.519;221.741;-29.730.274.728.502.800
-0.8117;-122.861;0.51669;-182.175;-136.168;0.10851;158.906;-221.925;-102.423;187.594;169.133;0.78642;-29.693.657.316.073.400
-170.997;13.785;267.277;0.20463;-151.812;0.37396;0.42751;-106.556;0.39817;-0.91466;-0.97998;-0.22189;-29.602.681.059.455.100
-0.76725;0.82684;0.30646;-151.082;-14.151;-106.914;-137.153;122.549;0.50013;-0.69248;-0.73191;-0.53244;-29.557.479.340.652.200
-0.60645;0.00303;-236.527;-0.95196;-205.229;0.52774;0.8478;-123.353;0.15811;0.06414;0.90043;323.396;-28.898.775.844.961.000
0.92843;-0.5839;-0.20692;-187.011;-0.0079;-0.86471;116.616;107.748;0.85429;-0.1738;-102.785;0.08468;-28.672.644.416.138.500
-22.775;0.67793;-0.0453;-0.69961;-0.15989;-0.48849;0.48298;117.484;160.333;-0.00426;-0.20629;-170.285;-28.488.690.622.675.100
-222.624;184.955;0.33049;0.30176;-0.90468;-0.79331;171.184;-0.56229;149.456;-108.437;-0.24155;109.495;-28.323.041.828.587.700
-0.00198;-120.435;0.00139;-0.94416;0.38126;-0.59378;-179.964;-0.73885;153.633;0.33992;-0.54556;0.1945;-28.222.680.389.920.100
-143.262;-0.32016;-0.8534;0.59621;-196.326;-232.047;-0.52592;0.28237;-163.875;0.82797;-0.65847;-0.00628;-28.062.872.682.721.500
0.34521;142.244;-133.202;0.20329;-0.86479;-0.63412;-0.98258;-196.171;-0.54695;-146.944;-0.0674;-0.7196;-27.947.397.264.824.400
-0.31186;0.83042;0.50985;165.678;-111.015;251.067;0.77986;0.70444;0.9254;0.23371;-0.2756;0.78394;-27.797.227.833.946.200
0.60203;-139.672;0.72388;0.23724;-115.571;-0.19598;0.17576;0.38761;-0.71113;0.42977;-0.35462;-0.79244;-27.484.493.350.061.800
-189.192;0.92992;0.36863;-182.857;0.24551;-0.08043;0.45157;0.50753;-142.799;0.31538;0.65322;0.60964;-27.402.766.258.573.300
-141.399;-155.335;-0.75807;-196.524;-0.17086;-0.0632;-0.80171;0.42125;-0.73444;154.371;0.17841;0.44573;-27.392.818.144.048.100
-115.012;0.60361;0.32826;-0.7007;-108.071;159.076;-0.22584;-0.14701;0.42873;-0.93228;-30.433;0.94669;-27.201.549.831.919.400
0.47555;-0.32084;-186.654;0.06215;-0.89863;133.755;-0.19633;0.38984;-0.52134;0.25341;-0.1804;0.65163;-27.182.119.693.959.500
-0.10604;0.01803;-162.256;0.21171;-0.35383;0.74741;-0.3643;-15.867;0.45111;150.545;0.11871;0.15147;-27.102.174.915.940.000
0.95685;-0.46659;-0.04538;-145.196;-0.29365;0.6492;-146.389;-0.30762;0.19796;-0.41362;-127.687;0.40852;-27.066.526.346.213.500
-0.32965;-0.51166;0.88145;-151.894;-16.759;137.781;194.176;-0.65271;-0.22416;0.88933;-0.11327;-0.50116;-27.043.398.632.979.400
-109.397;0.0552;0.18183;-0.62697;-136.741;232.214;0.78632;-0.65259;-0.06309;100.778;-0.31447;-0.93285;-26.738.316.582.748.800
0.72568;-136.479;-18.696;0.94531;-175.784;-0.68711;-0.15104;-0.81238;0.29682;-0.35881;-0.74447;-0.45517;-26.643.208.493.028.500
-0.7528;-0.18299;105.364;-274.611;-0.2684;0.18695;0.64894;-0.822;0.0319;0.11229;-0.13963;0.1205;-26.616.518.421.356.200
-0.33307;-0.27398;-0.68078;0.1014;0.05642;0.24297;0.53778;129.504;-0.42084;162.398;-0.67089;0.66701;-26.614.832.671.756.400
-203.123;-0.57021;-0.1793;-186.997;0.63639;-0.80441;-0.1092;-0.73804;-1.703;147.083;-0.14543;-0.91922;-26.227.023.648.309.000
-103.528;0.66715;0.1051;0.4953;-233.084;-0.05164;-0.04835;-0.70229;0.06242;-0.32497;166.338;0.06676;-26.226.191.395.720.600
-24.134;0.46104;-0.99448;0.36082;-0.42076;0.18083;164.364;-0.58489;-24.491;-0.91907;-0.94133;-0.87418;-26.160.557.841.031.500
0.96611;-0.2164;-0.60454;-0.55222;-107.107;-162.004;-0.92091;-0.24097;100.156;0.69774;0.42302;-0.32605;-26.142.497.971.194.700
-159.084;0.00124;145.215;-0.03476;-11.737;0.77296;0.96255;0.94981;-0.95473;-0.53286;0.28071;-0.41462;-25.981.250.110.670.300
-271.967;-11.835;19.661;-0.68788;0.65913;-0.49044;0.69428;-0.67325;0.00203;-105.493;-0.19069;0.84658;-25.740.992.810.821.100
-284.444;165.321;-0.2321;0.13998;0.09005;140.581;0.0519;-0.30787;0.38641;0.98164;145.168;-0.06121;-25.689.527.286.233.100
-0.46124;0.16649;113.128;-179.873;-107.053;-0.48373;-0.89499;-102.611;106.215;-0.00161;-129.584;109.164;-25.681.232.177.502.800
-126.503;-0.18647;-0.68876;-229.096;0.20329;-0.99529;0.30792;0.91104;0.77621;0.79991;-113.224;0.66887;-25.581.079.288.083.400
0.02711;-113.684;-0.40796;-0.89751;0.2264;-0.56892;-0.01865;0.49693;0.06483;-164.151;0.92174;0.79661;-25.510.903.827.442.800
0.26156;110.811;0.8754;-0.57277;-272.807;-171.137;-0.00846;0.58508;-120.583;-24.957;-155.842;-0.4132;-25.510.683.857.223.400
-114.187;0.15471;0.17848;-182.574;-0.34837;-0.28066;121.641;0.04482;109.272;-0.74301;-0.00903;0.44679;-25.487.034.349.338.500
-135.138;-19.134;-0.3365;-0.83378;-0.80328;0.20116;-0.92565;0.34706;137.432;110.515;0.0001;-0.18545;-25.458.302.112.460.400
-190.643;-0.15121;0.79525;-0.62708;-0.27616;-147.275;-0.40138;-0.52114;-0.83707;0.07016;-0.3062;-0.39584;-25.414.284.655.238.200
0.16886;159.848;-0.30586;0.63554;-103.789;-0.773;316.319;-0.14689;-113.406;0.83724;117.049;111.827;-25.335.375.011.512.800
-126.152;-0.49148;-178.762;-124.085;-0.5348;131.833;-0.78909;-115.483;-0.05694;-209.287;-0.74553;-0.34993;-25.262.304.650.788.600
-0.97561;-0.04518;-0.1923;0.92216;0.37103;0.26382;0.1857;0.54322;-0.03488;136.387;0.9004;-0.42602;-25.254.249.732.025.000
-21.159;0.56999;-196.102;0.09597;-0.64027;165.579;-141.282;0.72561;-111.078;-120.035;143.184;0.30215;-25.010.915.311.192.500
-0.97746;0.06723;-119.556;-229.217;-0.01379;-146.179;100.393;-0.15211;-112.726;0.47232;-162.725;0.72807;-24.957.258.997.592.700
101.988;0.07383;163.379;-11.481;-0.71697;-0.59056;-260.813;-0.73601;215.064;0.39431;0.67088;0.27565;-24.847.905.476.408.200
-0.7206;144.698;-112.588;127.648;-0.31314;-0.46041;109.266;-0.6614;0.28411;-0.26265;-0.54676;-0.25236;-24.804.328.479.240.400
-0.04052;0.07247;111.225;-132.123;0.62509;0.84927;-0.12938;135.892;164.074;0.72193;0.78087;-0.70839;-24.709.137.218.147.900
-142.642;-0.51066;-0.70293;-106.634;-0.54909;-134.767;-0.02826;-0.54028;102.676;-0.63221;103.961;0.79174;-24.695.724.166.911.400
-0.80751;0.03341;13.539;-13.605;-0.99208;0.7082;0.33981;-0.03391;121.378;148.052;0.26047;-0.4297;-24.690.810.471.432.500
-11.138;127.427;0.90294;-15.575;-0.50335;0.5612;0.55585;167.444;0.33321;-140.076;0.41364;126.444;-24.605.378.210.255.400
-0.71847;-0.43358;-0.39402;-117.542;-119.497;0.22543;-0.51463;0.31005;190.723;151.704;0.03649;-220.946;-24.589.115.336.624.000
0.51795;0.14848;-0.03561;-0.28881;-0.54704;-177.037;-0.83908;281.846;0.15618;0.01913;-166.614;140.386;-24.511.978.661.224.400
-148.489;-151.574;0.3584;-0.52568;-0.74788;-125.223;0.71489;0.84028;-0.31144;237.552;-0.02105;0.55949;-24.454.655.482.443.200
-0.49631;0.84807;-150.221;152.247;-0.75794;-137.595;0.7412;115.109;-0.28039;104.582;-0.33298;-1.362;-24.411.729.806.008.200
-0.20164;0.74076;0.7592;-180.753;-126.157;0.2488;110.855;0.87436;-0.56581;0.28901;-0.77031;0.25303;-24.409.500.370.801.800
-103.093;-0.70556;-0.99896;0.92058;-221.859;-171.128;0.65117;0.09664;0.47882;-191.032;-0.85185;-14.182;-24.403.134.238.444.900
0.29945;-129.606;0.50304;0.15458;-0.5486;-0.98097;-0.16683;-0.63615;-0.17349;0.4166;0.73971;0.17101;-24.268.458.880.870.300
-0.80526;0.42892;0.67772;0.36104;-212.925;-0.36189;0.25662;-0.04712;0.07787;-259.154;-0.03464;11.501;-24.215.371.606.963.400
-251.785;0.22008;0.27825;-0.24433;0.28678;-215.804;0.12098;-0.77705;0.88678;0.76519;-0.1502;0.17125;-24.210.939.212.011.600
-0.72824;-0.15057;0.28759;-0.24178;-184.885;100.889;-0.60059;0.53209;0.85117;1.22;0.66623;10.092;-24.190.352.372.508.200
-0.70254;-196.878;-17.185;-153.311;-0.83708;-0.89878;-0.08968;0.09504;-0.01924;0.16672;-0.9143;-109.509;-24.184.460.282.555.700
-0.46971;103.139;-0.17717;0.41866;-249.449;-0.04744;156.066;-0.52942;0.98059;152.845;-0.70034;13.256;-24.140.143.001.231.800
-0.87272;0.48445;182.937;0.49039;0.43543;116.143;-122.199;-110.342;-0.11399;0.55273;-0.68132;0.03753;-24.102.920.293.737.300
-152.679;-0.15805;-159.277;0.46407;-131.158;119.572;-190.103;-0.21675;158.041;-121.166;-0.51015;-0.18625;-24.070.619.574.692.800
-106.596;165.525;0.59222;-0.3116;-123.811;0.32921;-0.38153;0.4298;-0.90259;0.45088;-114.376;-0.92226;-24.008.651.837.195.000
-151.483;134.079;-0.663;-0.812;-0.48897;0.64834;-0.92982;102.853;-0.08675;-154.892;0.5253;-0.03975;-23.869.564.623.315.800
-244.227;-122.924;117.846;157.105;-105.473;-0.19206;0.44201;-12.657;0.23175;0.58055;0.29456;0.62576;-23.689.913.615.656.800
0.00736;-0.05984;156.812;-0.58254;0.20845;0.72536;0.16518;-0.83742;0.05408;-0.97347;-100.623;-181.397;-23.680.865.556.134.000
0.58046;-0.14911;0.34816;-148.164;-0.02677;-0.49581;0.15791;-0.88326;-0.32461;0.07653;147.031;0.23821;-23.653.618.631.886.600
-0.53236;-178.336;147.763;102.427;-0.42694;-0.28253;150.965;-128.513;-0.99155;-193.483;0.53025;-0.66137;-23.625.317.976.173.100
-0.46254;-181.189;0.98425;0.55832;-0.19534;-0.04904;-0.78972;-122.968;-0.13049;0.5273;0.73641;0.16853;-23.559.025.539.313.400
-130.627;-0.37374;-0.21116;-16.841;0.12424;-0.47432;-0.97602;-165.756;-0.95494;0.79944;-183.047;-0.92262;-23.483.622.496.703.700
-21.372;-145.353;-0.22341;-0.55877;0.19534;-0.72105;148.947;108.562;-0.5834;200.211;-0.59741;-0.41341;-23.451.726.862.802.200
-109.981;0.10596;0.21774;-0.57037;-118.658;0.84048;0.13536;0.57736;11.347;0.07321;191.112;0.07003;-23.307.509.139.949.400
0.22466;-0.1953;-0.31766;-193.246;-164.072;-16.617;120.725;0.82054;-13.563;149.039;0.47937;-0.92091;-23.299.100.008.717.200
-183.179;114.572;-0.84298;0.1882;-0.70866;-0.62927;-0.11867;109.073;-129.355;-0.83915;0.11088;-184.742;-23.147.757.009.171.500
-0.9266;0.14782;0.47376;-0.22672;-1.552;-156.762;0.60404;0.08676;18.174;-0.26371;135.637;0.67143;-23.029.417.841.884.800
-124.043;-0.45999;134.583;0.56766;-166.461;0.08172;-10.827;-0.49961;-0.5627;-130.366;0.31802;0.50231;-23.017.752.972.762.900
-0.84846;134.714;-0.00072;-100.567;-11.041;-0.76938;0.09365;207.161;-0.35641;0.80168;15.971;-0.54975;-22.964.779.554.619.300
-242.407;0.9454;0.5292;-0.83634;0.74796;0.84065;0.34428;0.45935;-0.94748;0.28761;-0.1849;0.36839;-22.929.987.355.612.100
-0.77844;-0.66584;-0.55911;-0.67692;-122.432;-124.268;-0.32553;-0.34944;0.82175;0.23005;-0.71097;-0.24572;-22.929.030.689.208.100
-15.367;-0.25646;0.80533;-0.08734;-0.87228;-0.35028;0.54571;119.006;-125.004;0.28778;0.6655;-138.631;-22.890.559.325.275.000
153.439;0.84739;-0.19103;-0.97156;-13.207;0.27632;-117.012;-0.46798;0.83459;-0.85516;-0.46422;0.44743;-22.858.592.300.974.200
-0.03093;0.54342;-0.24288;-0.83122;-180.497;-0.56262;0.6335;-0.6671;-0.05376;-0.65087;-259.639;-0.1596;-22.772.782.110.894.400
